Username,Password
"dejunious","maximilian#De Junious&student-"
"nunezgomez","ramón=Núñez Gómez)student#"
"uellaegoess","ülkü ömer!Üllägöß)student^"
"lanpher","isis%Lanpher)student!"
"galvin","maximilian#Galvin.student("
"laspina","jannette#Laspina,student="
"dodich","marg.Dodich-student5"
"bannowsky","carisa#Bannowsky^student("
"waisath","david,Waisath5student."
"vonreddigpiette","paulette%von Reddig-Piette)student5"
"latona","kirby,Latona!student="
"homewood","reed(Homewood_student."
"pallaforzedian","blair-Pallafor-Zedian-student("
"senemounnaratquillian","lon_Senemounnarat-Quillian&student%"
"isaac","vada=Isaac&student="
"plancarte","jeanett,Plancarte!student("
"berteottistirn","alex&Berteotti-Stirn,teacher5"
"strycker","robyn(Strycker#student#"
"vonverrill","camille_Von Verrill5student)"
"deschner","franz michael leopold5Deschner#student&"
"franzi","veola(Franzi(teacher,"
"cringle","chantelle.Cringle%student="
"kosh","britney=Kosh5student5"
"derouchie","clayton=Derouchie#student-"
"doutt","beverlee(Doutt.student#"
"munley","alma^Munley(student)"
"dornbos","thad5Dornbos-student&"
"mahala","arvilla!Mahala%student_"
"ellingwood","mirza%Ellingwood%teacher="
"decardinallisciola","francie.de Cardinalli-Sciola,student("
"gundry","irénée_Gundry.teacher!"
"pinedo","irénée=Pinedo_student,"
"faivre","chel'ah-Faivre.student%"
"pinsky","mirza(Pinsky&student)"
"pinsky1","francie5Pinsky&student-"
"pinsky2","goldie^Pinsky5student("
"pinsky3","a-nother=Pinsky!student,"
